Real      Imaginary
real   imaginary
293306  -99581
285997  -95515
277174  -97085
268268  -105432
257951  -114479
247947  -122240
238357  -120323
227419  -129329
215752  -136138
205794  -137669
195010  -139819
187574  -139402
180049  -144701
174459  -142555
158971  -139555
159368  -144959
149398  -146197
143779  -143505
138609  -146888
129383  -146964
124126  -144147
119376  -147308
112205  -146142
104782  -146292
100145  -144311
94220  -143910
89720  -142966
83429  -140361
75780  -134948
70456  -134123
68740  -133608
63677  -129591
60501  -126900
57723  -124838
55045  -122015
51211  -117864
48574  -116000
46567  -113592
43709  -111019
41436  -109428
40397  -105630
38601  -105073
37135  -101725
34680  -99978
34198  -97665
32553  -96133
31251  -94272
30149  -92629
28834  -90753
28336  -88306
26514  -87024
26081  -85262
26014  -83954
24459  -82064
24024  -80473
23419  -79428
22597  -78256
21472  -77168
20401  -75631
20701  -74026
19722  -72650
19377  -71789
18857  -70739
18747  -69529
17494  -68682
17802  -67977
16864  -66196
16796  -65676
15798  -64240
15671  -62728
15331  -61828
15466  -60521
15010  -60324
13925  -59139
14355  -58196
13840  -57538
13929  -56662
12082  -55569
13576  -55737
13287  -52346
14825  -54822
11752  -50479
13140  -52249
12524  -51043
11933  -50589
11522  -49646
11283  -48701
11182  -48730
10533  -48129
10717  -47041
10260  -46193
9611  -45492
10063  -45166
10090  -45453
8967  -43920
9725  -43579
8877  -42463
9629  -43792
11079  -41929
7717  -40648
