Index frequency   real   imaginary   Impedance   Phase
1  1000  293306  99581  309749  18.753
2  2000  285997  95515  301525  18.4679
3  3000  277174  97085  293685  19.3037
4  4000  268268  105432  288242  21.4553
5  5000  257951  114479  282212  23.9317
6  6000  247947  122240  276442  26.2437
7  7000  238357  120323  267005  26.7847
8  8000  227419  129329  261620  29.6261
9  9000  215752  136138  255112  32.2516
10  10000  205794  137669  247596  33.7811
11  11000  195010  139819  239954  35.6399
12  12000  187574  139402  233702  36.6191
13  13000  180049  144701  230989  38.788
14  14000  174459  142555  225295  39.2532
15  15000  158971  139555  211535  41.2788
16  16000  159368  144959  215432  42.2892
17  17000  149398  146197  209029  44.3796
18  18000  143779  143505  203140  44.9454
19  19000  138609  146888  201961  46.661
20  20000  129383  146964  195801  48.6402
21  21000  124126  144147  190225  49.268
22  22000  119376  147308  189605  50.9793
23  23000  112205  146142  184248  52.4836
24  24000  104782  146292  179946  54.3878
25  25000  100145  144311  175655  55.2412
26  26000  94220  143910  172010  56.7866
27  27000  89720  142966  168786  57.8892
28  28000  83429  140361  163283  59.2732
29  29000  75780  134948  154769  60.6836
30  30000  70456  134123  151502  62.2867
31  31000  68740  133608  150254  62.7746
32  32000  63677  129591  144390  63.8319
33  33000  60501  126900  140584  64.51
34  34000  57723  124838  137537  65.185
35  35000  55045  122015  133856  65.7183
36  36000  51211  117864  128508  66.5154
37  37000  48574  116000  125759  67.2789
38  38000  46567  113592  122766  67.7088
39  39000  43709  111019  119313  68.5101
40  40000  41436  109428  117010  69.2603
41  41000  40397  105630  113091  69.0712
42  42000  38601  105073  111939  69.828
43  43000  37135  101725  108291  69.9453
44  44000  34680  99978  105822  70.8696
45  45000  34198  97665  103479  70.702
46  46000  32553  96133  101495  71.2926
47  47000  31251  94272  99316  71.6597
48  48000  30149  92629  97411  71.9709
49  49000  28834  90753  95223  72.3739
50  50000  28336  88306  92740  72.2094
51  51000  26514  87024  90973  73.0554
52  52000  26081  85262  89161  72.9915
53  53000  26014  83954  87891  72.7839
54  54000  24459  82064  85631  73.4034
55  55000  24024  80473  83982  73.3778
56  56000  23419  79428  82808  73.5721
57  57000  22597  78256  81453  73.8935
58  58000  21472  77168  80099  74.4508
59  59000  20401  75631  78334  74.9041
60  60000  20701  74026  76865  74.3766
61  61000  19722  72650  75279  74.8122
62  62000  19377  71789  74358  74.8949
63  63000  18857  70739  73209  75.0737
64  64000  18747  69529  72012  74.9103
65  65000  17494  68682  70874  75.71
66  66000  17802  67977  70269  75.3248
67  67000  16864  66196  68310  75.7074
68  68000  16796  65676  67789  75.6546
69  69000  15798  64240  66154  76.1839
70  70000  15671  62728  64655  75.9732
71  71000  15331  61828  63700  76.0737
72  72000  15466  60521  62465  75.665
73  73000  15010  60324  62163  76.0272
74  74000  13925  59139  60756  76.7504
75  75000  14355  58196  59940  76.1437
76  76000  13840  57538  59179  76.4752
77  77000  13929  56662  58348  76.1891
78  78000  12082  55569  56867  77.7335
79  79000  13576  55737  57366  76.3109
80  80000  13287  52346  54006  75.7574
81  81000  14825  54822  56791  74.868
82  82000  11752  50479  51828  76.8944
83  83000  13140  52249  53875  75.8835
84  84000  12524  51043  52557  76.2141
85  85000  11933  50589  51977  76.7276
86  86000  11522  49646  50965  76.9339
87  87000  11283  48701  49990  76.9559
88  88000  11182  48730  49996  77.0762
89  89000  10533  48129  49268  77.6555
90  90000  10717  47041  48246  77.1658
91  91000  10260  46193  47318  77.4772
92  92000  9611  45492  46496  78.0707
93  93000  10063  45166  46273  77.4396
94  94000  10090  45453  46559  77.484
95  95000  8967  43920  44826  78.4607
96  96000  9725  43579  44650  77.4201
97  97000  8877  42463  43380  78.1922
98  98000  9629  43792  44838  77.5991
99  99000  11079  41929  43368  75.1989
100  100000  7717  40648  41374  79.2504
