frequency   real   imaginary   Impedance   Phase
1000  293306  -99581  309749  161.247
2000  285997  -95515  301525  161.532
3000  277174  -97085  293685  160.696
4000  268268  -105432  288242  158.545
5000  257951  -114479  282212  156.068
6000  247947  -122240  276442  153.756
7000  238357  -120323  267005  153.215
8000  227419  -129329  261620  150.374
9000  215752  -136138  255112  147.748
10000  205794  -137669  247596  146.219
11000  195010  -139819  239954  144.36
12000  187574  -139402  233702  143.381
13000  180049  -144701  230989  141.212
14000  174459  -142555  225295  140.747
15000  158971  -139555  211535  138.721
16000  159368  -144959  215432  137.711
17000  149398  -146197  209029  135.62
18000  143779  -143505  203140  135.055
19000  138609  -146888  201961  133.339
20000  129383  -146964  195801  131.36
21000  124126  -144147  190225  130.732
22000  119376  -147308  189605  129.021
23000  112205  -146142  184248  127.516
24000  104782  -146292  179946  125.612
25000  100145  -144311  175655  124.759
26000  94220  -143910  172010  123.213
27000  89720  -142966  168786  122.111
28000  83429  -140361  163283  120.727
29000  75780  -134948  154769  119.316
30000  70456  -134123  151502  117.713
31000  68740  -133608  150254  117.225
32000  63677  -129591  144390  116.168
33000  60501  -126900  140584  115.49
34000  57723  -124838  137537  114.815
35000  55045  -122015  133856  114.282
36000  51211  -117864  128508  113.485
37000  48574  -116000  125759  112.721
38000  46567  -113592  122766  112.291
39000  43709  -111019  119313  111.49
40000  41436  -109428  117010  110.74
41000  40397  -105630  113091  110.929
42000  38601  -105073  111939  110.172
43000  37135  -101725  108291  110.055
44000  34680  -99978  105822  109.13
45000  34198  -97665  103479  109.298
46000  32553  -96133  101495  108.707
47000  31251  -94272  99316  108.34
48000  30149  -92629  97411  108.029
49000  28834  -90753  95223  107.626
50000  28336  -88306  92740  107.791
51000  26514  -87024  90973  106.945
52000  26081  -85262  89161  107.008
53000  26014  -83954  87891  107.216
54000  24459  -82064  85631  106.597
55000  24024  -80473  83982  106.622
56000  23419  -79428  82808  106.428
57000  22597  -78256  81453  106.106
58000  21472  -77168  80099  105.549
59000  20401  -75631  78334  105.096
60000  20701  -74026  76865  105.623
61000  19722  -72650  75279  105.188
62000  19377  -71789  74358  105.105
63000  18857  -70739  73209  104.926
64000  18747  -69529  72012  105.09
65000  17494  -68682  70874  104.29
66000  17802  -67977  70269  104.675
67000  16864  -66196  68310  104.293
68000  16796  -65676  67789  104.345
69000  15798  -64240  66154  103.816
70000  15671  -62728  64655  104.027
71000  15331  -61828  63700  103.926
72000  15466  -60521  62465  104.335
73000  15010  -60324  62163  103.973
74000  13925  -59139  60756  103.25
75000  14355  -58196  59940  103.856
76000  13840  -57538  59179  103.525
77000  13929  -56662  58348  103.811
78000  12082  -55569  56867  102.267
79000  13576  -55737  57366  103.689
80000  13287  -52346  54006  104.243
81000  14825  -54822  56791  105.132
82000  11752  -50479  51828  103.106
83000  13140  -52249  53875  104.116
84000  12524  -51043  52557  103.786
85000  11933  -50589  51977  103.272
86000  11522  -49646  50965  103.066
87000  11283  -48701  49990  103.044
88000  11182  -48730  49996  102.924
89000  10533  -48129  49268  102.345
90000  10717  -47041  48246  102.834
91000  10260  -46193  47318  102.523
92000  9611  -45492  46496  101.929
93000  10063  -45166  46273  102.56
94000  10090  -45453  46559  102.516
95000  8967  -43920  44826  101.539
96000  9725  -43579  44650  102.58
97000  8877  -42463  43380  101.808
98000  9629  -43792  44838  102.401
99000  11079  -41929  43368  104.801
100000  7717  -40648  41374  100.75
